characteristic,cluster1,cluster2,p.adj,conover_stat
p_10270103_1d_total,1,5,0.025609397780154648,-2.845479949603129
p_10270103_1d_total,2,5,0.28637908950318586,-0.7798133310192547
p_10270103_1d_total,3,5,0.0065503746825268955,-3.4739922862401578
p_10270103_1d_total,4,5,0.09255076753655882,-1.713320235627896
p_10270103_1d_total,1,6,0.32095892876925075,-0.5089162500093083
p_10270103_1d_total,2,6,0.21459987441225536,1.1160343304932425
p_10270103_1d_total,3,6,0.08970886864275619,-1.777826865651943
p_10270103_1d_total,4,6,0.30655523441820887,0.6359267374426806
p_10270103_1d_total,5,6,0.08280270257752945,1.8685756444441592
p_10270103_1d_total,1,7,0.10757610693520067,-1.880247353176401
p_10270103_1d_total,2,7,0.4489281321429181,0.12852681603432875
p_10270103_1d_total,3,7,0.01843017860227982,-2.820066526267847
p_10270103_1d_total,4,7,0.29401671179847777,-0.6259557399262113
p_10270103_1d_total,5,7,0.22876212907753163,0.9828908741763763
p_10270103_1d_total,6,7,0.21674274485289086,-1.0630534797566573
p_10260008_1d_total,1,2,0.14468557015788655,-1.3921787514308803
p_10260008_1d_total,1,3,0.10627917554953019,1.6975072504538542
p_10260008_1d_total,2,3,0.030859392396657158,2.644032759664112
p_10260008_1d_total,1,4,0.2518258822720045,-0.9178676112758669
p_10260008_1d_total,2,4,0.3072342953891189,0.6797367366765307
p_10260008_1d_total,3,4,0.03799999120883702,-2.382518861456605
p_10260008_1d_total,1,5,0.07427220448720318,-2.041723780810274
p_10260008_1d_total,2,5,0.3205632295977807,-0.5099936644054726
p_10260008_1d_total,3,5,0.022512368728080594,-3.108414873855381
p_10260008_1d_total,4,5,0.14201692633670068,-1.3583297918323263
p_10260008_1d_total,1,6,0.2947700795744337,0.7582268112718339
p_10260008_1d_total,2,6,0.07218949365809313,1.9297227180056438
p_10260008_1d_total,3,6,0.24145212714156128,-0.992850988609743
p_10260008_1d_total,4,6,0.12281036078118233,1.5741946530454691
p_10260008_1d_total,5,6,0.035344666363550006,2.49251900254268
p_10260008_1d_total,1,7,0.15730589889805316,-1.3940276937272693
p_10260008_1d_total,2,7,0.4607582417827305,0.09864330407104002
p_10260008_1d_total,3,7,0.04322838457989938,-2.667900764993719
p_10260008_1d_total,4,7,0.29330448119071995,-0.6279256529154108
p_10260008_1d_total,5,7,0.29798809504741214,0.658669088093665
p_10260008_1d_total,6,7,0.07930149418796877,-1.9471111301316517
p_10270102_1d_total,1,2,0.06298297668876655,-1.9892222383689204
p_10270102_1d_total,1,3,0.09800250239134946,1.736239822014678
p_10270102_1d_total,2,3,0.007626702842627558,3.10339844076655
p_10270102_1d_total,1,4,0.13088006620788387,-1.5417773581663856
p_10270102_1d_total,2,4,0.29667756596208295,0.7533689973416209
p_10270102_1d_total,3,4,0.013544257626640644,-2.8268425124181666
p_10270102_1d_total,1,5,0.0139693228638895,-2.7413199466899996
p_10270102_1d_total,2,5,0.3180463907919887,-0.5608366908312022
p_10270102_1d_total,3,5,0.0038620927338455465,-3.621643823016257
p_10270102_1d_total,4,5,0.12893149358515996,-1.5002304051640818
p_10270102_1d_total,1,6,0.2843504014754064,-0.8322632974555896
p_10270102_1d_total,2,6,0.29711257894514426,0.9024652243017973
p_10270102_1d_total,3,6,0.04853958428697836,-2.2165536778999297
p_10270102_1d_total,4,6,0.3778422084615147,0.3593478196541303
p_10270102_1d_total,5,6,0.13010023866196938,1.4495647980734856
p_10270102_1d_total,1,7,0.06499020623091276,-2.0329632344460102
p_10270102_1d_total,2,7,0.45953624838938323,0.1017255753892387
p_10270102_1d_total,3,7,0.010112757672615366,-3.1414238361282227
p_10270102_1d_total,4,7,0.28094189086889665,-0.7049746540104368
p_10270102_1d_total,5,7,0.2928781612009947,0.7169915004491659
p_10270102_1d_total,6,7,0.2924379274610997,-0.8615683478111806
p_10270104_1d_total,1,2,0.04004330466367468,-2.178284730246614
p_10270104_1d_total,1,3,0.14968004789764788,1.2868599768696847
p_10270104_1d_total,2,3,0.01480660561567998,2.7970708940022124
p_10270104_1d_total,1,4,0.15850622406939555,-1.3417192577997261
p_10270104_1d_total,2,4,0.1642423800270604,1.1529012810505346
p_10270104_1d_total,3,4,0.040847475806249686,-2.223883394538134
p_10270104_1d_total,1,5,0.004894740145269025,-3.3583886984192293
p_10270104_1d_total,2,5,0.19897477320712284,-0.9541810017585013
p_10270104_1d_total,3,5,0.004445002166631402,-3.5828147857934254
p_10270104_1d_total,4,5,0.0353256220440156,-2.4100243428724952
p_10270104_1d_total,1,6,0.47480632090916186,0.06326952534443395
p_10270104_1d_total,2,6,0.05746383320362852,1.9319238982884581
p_10270104_1d_total,3,6,0.15920972803420524,-1.1347929009085118
p_10270104_1d_total,4,6,0.17112595887122264,1.1672007141129794
p_10270104_1d_total,5,6,0.01509268282761049,2.8860771036898707
p_10270104_1d_total,1,7,0.13529747165256828,-1.4749418460755823
p_10270104_1d_total,2,7,0.2257181580783719,0.8283135282882804
p_10270104_1d_total,3,7,0.0385973998563381,-2.306706674410486
p_10270104_1d_total,4,7,0.40935020931429417,-0.28005362041863674
p_10270104_1d_total,5,7,0.06377549404828513,1.9324292029937713
p_10270104_1d_total,6,7,0.15590178840198748,-1.3059227270872484
p_global_1d_total,1,2,0.03428603933546675,-2.5036300261828677
p_global_1d_total,1,3,0.17964570277198458,1.3202568835703279
p_global_1d_total,2,3,0.02634967749849911,3.0594199549756156
p_global_1d_total,1,4,0.07874315074459565,-1.9502046291169859
p_global_1d_total,2,4,0.26162083165316596,0.9389845481609358
p_global_1d_total,3,4,0.030111742470347397,-2.6526085929052847
p_global_1d_total,1,5,0.05396791411592411,-2.173937142747149
p_global_1d_total,2,5,0.3368897657061818,0.5114048493292066
p_global_1d_total,3,5,0.028110653694471317,-2.8144971333010753
p_global_1d_total,4,5,0.35090633113491604,-0.42896449252597685
p_global_1d_total,1,6,0.3303470478877901,-0.6216578912357431
p_global_1d_total,2,6,0.1292628567417015,1.5481452270741438
